제목,저자,연도,URL,핵심_내용,주요_방정식,프로젝트_연관_정리,프로젝트_해석,접근성
"A Numerical Procedure for the Determination of the Pursuit Curve of Objects with Uniformly Accelerated Motion","Luis Rozas",2025,https://arxiv.org/abs/2508.03841,"등가속 운동하는 두 물체 간의 추격 곡선(pursuit curve)을 수치적으로 결정. 고전 Bernoulli(등속) 추격 곡선을 가속도 포함으로 일반화. 이탈 물체가 직선 이동 시: 두 물체 모두 정지 출발이면 추격 곡선이 등속 케이스와 동일함을 증명. 임의 경로 이탈자 대상 수치 절차 제시.","dx/dt = -a_p*(x-x_E)/|P-E|; dy/dt = a_p*(y_E-y)/|P-E|; 가속 케이스: v_p(t) = v_p0 + a_p*t; v_e(t) = v_e0 + a_e*t; 탈출 속도 임계 조건: v_e0 = f(a_p, v_p0)일 때 추격 곡선이 v=0 케이스와 동일","정리 1 (Bernoulli 추격 곡선 확장)","고전 정리 1은 등속(v_p=const) 가정. F-16 실제 환경은 d_speed=±25kts/s 가변. Rozas가 이를 정확히 다룸. offensive 정책이 +2kts/s 가속할 때 우리 추격 곡선이 어떻게 변형되는지 수치 계산 가능. 정리 1의 F-16 한계(BFM_MATH:114-120) 보완 근거.",✓ arXiv 무료 PDF
"An Introduction to Pursuit-evasion Differential Games","Isaac E. Weintraub; Meir Pachter; Eloy Garcia",2020,https://arxiv.org/abs/2003.05013,"추격-회피 미분 게임 체계적 입문서. 1:1 게임부터 N:M 게임까지 분류. Two-cutters & Fugitive Ship, Active Target Defense 게임 상세 분석. Isaacs 주요 방정식(Main Equation)부터 barrier 이론까지 정리. 최근 발전 동향 포함.","Isaacs Main Equation: V_t + H(x, DV) = 0; H = min_u max_v {f(x,u,v) · grad(V)}; Capture condition: ||x_P - x_E|| <= l_c; Barrier ODE: dx_b/dt = f(x_b, u*(x_b), v*(x_b)); Value function: V(x,t) = min_u max_v integral[L dt] + terminal cost","정리 3 (Isaacs Homicidal Chauffeur); 정리 4 (Game of Two Cars); 전체 미분 게임 기반","동등 스펙 F-16 vs F-16 게임의 이론적 뿌리. Isaacs Main Equation 해석 방법, barrier 면 계산 절차를 현대 언어로 설명. 특히 1-pursuer-1-evader 섹션이 우리 문제와 직결. BFM 정리 3-4의 수학 기반을 검증하는 교과서 역할.",✓ arXiv 무료 PDF
"Reach-Avoid Problems with Time-Varying Dynamics Targets and Constraints","Jaime F. Fisac; Mo Chen; Claire J. Tomlin; Shankar S. Sastry",2014,https://arxiv.org/abs/1410.6445,"시간가변 dynamics를 갖는 reach-avoid 미분 게임의 일반 이론. 상태 증강 없이 시간가변 제약 처리. Double-obstacle variational inequality 형태의 변형 HJI 방정식 제시. 충돌 회피, 항공기 제어 등 응용 포함.","수정 HJI: min(dV/dt + H(x,t,DV), l(x,t) - V) = 0; l(x,t): 위험 집합 함수; g(x,t): 목표 집합 함수; Reach-Avoid value: V(x,t) = max_{tau in [t,T]} min{-l(x(tau)), -min_{s in [t,tau]} g(x(s))}; Double-obstacle form","정리 8 (High Yo-Yo 수직 최적 제어); 전체 capture/escape 분석","우리 문제의 WEZ(Weapon Engagement Zone)를 정확히 reach-avoid set으로 모델링 가능. WEZ 진입 = reach target, 적 WEZ 진입 = avoid constraint. 시간가변 dynamics(속도 가변 F-16)를 state augmentation 없이 처리하는 핵심 도구.",✓ arXiv 무료 PDF
"A Time-Dependent Hamilton-Jacobi Formulation of Reachable Sets for Continuous Dynamic Games","Ian M. Mitchell; Alexandre M. Bayen; Claire J. Tomlin",2005,https://people.eecs.berkeley.edu/~tomlin/papers/journals/mbt05_tac.pdf,"연속 동적 게임의 도달 가능 집합 수치 계산 알고리즘. 시간가변 HJI PDE를 레벨셋 방법으로 수치 해석. Level Set Toolbox 구현 포함. 2인 zero-sum 게임에서 안전/포획 집합 계산의 표준 방법론 제시.","HJI PDE: dV/dt + min_u max_v {f(x,u,v) · grad_x(V)} = 0; Backward reachable tube: BRT(t) = {x: V(x,t) <= 0}; Forward reachable set: FRS(t) = {x: exists u s.t. forall v, x(t) in Target}; Numerical: Lax-Friedrichs upwind scheme for grad_x(V)","정리 3-4 (Isaacs 미분 게임); 전체 capture 분석 수치화","현재 프로젝트는 BFM 정리를 heuristic τ 함수로 근사. Mitchell-Tomlin 방법으로 실제 HJI를 풀면 정확한 capture 집합 경계(barrier) 계산 가능. F-16 6D 상태 공간에서 계산 복잡도 지수적이지만, 2~3D 근사 모델로 τ 파라미터 검증에 활용 가능.",✓ Berkeley 저자 공개 PDF (IEEE TAC 2005)
"Hamilton-Jacobi Reachability: A Brief Overview and Recent Advances","Somil Bansal; Mo Chen; Sylvia Herbert; Claire J. Tomlin",2017,https://arxiv.org/abs/1709.07523,"HJ 도달가능성 분석의 현대적 개요. 기본 이론부터 GPU 병렬화 구현(ToolboxLS)까지. 고차원 문제(6D+) 해법인 DeepReach, HJPDE 근사 방법 포함. 실제 무인기/항공기 제어 적용 사례.","Backward reachable tube: V(x,t) = min_{u} max_{d} min_{tau in [t,T]} l(x(tau)); Optimal control: u*(x,t) = argmin_u {p · f(x,u,d)}; p = grad_x V(x,t); Numerical toolbox: Level Set Methods Toolbox (open source MATLAB/Python)","전체 BFM 수학 → HJI 수치 구현","BFM 정리 5+6+7+8의 τ 함수가 실제 HJI value function의 좋은 근사인지 검증 도구. helperOC toolbox로 F-16 단순화 모델(3~4D) HJI 계산 후 τ 파라미터(μ=70°, σ=30° 등) calibration 가능.",✓ arXiv 무료 PDF + GitHub helperOC 오픈소스
"Differential Games I: Introduction (RM-1391)","Rufus Isaacs",1951,https://www.rand.org/content/dam/rand/pubs/research_memoranda/2008/RM1391.pdf,"Isaacs 미분 게임 이론의 원본 RAND 메모. 추격-회피 게임의 수학적 정의. 최적 전략의 존재 조건. Hamiltonian 접근법 도입. 운동 게임(kinematic games) 기본 틀.","Tenet of Transition: V(x + f*dt) = V(x) + ... ; Isaacs equation: H(x, grad V) = 0; where H = f(x, phi*(x), psi*(x)) · grad V; phi* = argmin_phi H; psi* = argmax_psi H","정리 3 (Homicidal Chauffeur); 정리 4 (Game of Two Cars)","Isaacs 미분 게임 이론의 원전. 1965년 책보다 더 원시적이지만 추격-회피 게임의 수학적 틀 수립 과정이 명시적. RM-1391~1486 시리즈가 BFM 정리 3-4의 이론적 원천.",✓ RAND.org 무료 PDF
"Differential Games II: The Definition and Formulation (RM-1399)","Rufus Isaacs",1954,https://www.rand.org/content/dam/rand/pubs/research_memoranda/2008/RM1399.pdf,"미분 게임의 엄밀한 수학적 정의와 형식화. 연속 시간 게임의 안장점(saddle point) 조건. Value function의 존재 및 유일성. 운동학적 게임에서 barrier 곡면 정의.","Saddle point condition: V(x) = min_phi max_psi J = max_psi min_phi J; Barrier definition: B = {x: V(x) = V_boundary}; Retrogressive path: x_dot = -f(x, phi*, psi*); (backward integration to find barrier)","정리 3-4 (barrier 곡면 이론 기반)","Barrier ODE의 수학적 정의 원전. BFM_FOUNDATIONS:229의 barrier ODE dx_b/dtau = sin(phi_b) - v_e/v_p 의 출처. F-16 가변속 케이스에서 barrier가 어떻게 변형되는지 이해하기 위한 기초.",✓ RAND.org 무료 PDF
"Differential Games III: The Basic Principles of the Solution Process (RM-1411)","Rufus Isaacs",1954,https://www.rand.org/content/dam/rand/pubs/research_memoranda/2008/RM1411.pdf,"미분 게임 해법의 기본 원리. Main Equation (Isaacs 방정식) 유도. 최적 전략 합성 방법. 다양한 종류의 barrier(dispersal surface, equivocal surface 등) 분류.","Main Equation: H(x, V_x) = 0; where H = min_phi {f_phi · V_x} when pursuer minimizes; Equivocal surface: where optimal strategy is discontinuous; Dispersal surface: where value function has kink; Universal surface: where both optimal strategies coincide","정리 3-4 (Main Equation 기반)","Isaacs Main Equation의 유도 과정. F-16 vs F-16 동등 스펙 게임에서 equivocal surface(전략 불연속 경계)가 어디에 형성되는지 분석 기반. τ 함수의 sigmoid 경계가 이 surface를 근사하는지 검증 가능.",✓ RAND.org 무료 PDF
"Differential Games IV: Mainly Examples (RM-1486)","Rufus Isaacs",1955,https://www.rand.org/content/dam/rand/pubs/research_memoranda/2008/RM1486.pdf,"미분 게임 이론의 다양한 적용 예제. Homicidal Chauffeur 문제 원전 기술. Lion and Man 문제. 속도 비율 변화에 따른 barrier 변형 분석 포함.","Homicidal Chauffeur capture set: x^2 + (|y|-R)^2 <= R^2 (in pursuer frame); Capture time formula: T_c = R/v_p * arctan((v_p*t_0)/(R)); Speed ratio k=v_e/v_p < 1: capture guaranteed; k >= 1: evader escapes if starting outside capture set","정리 3 (Homicidal Chauffeur 원전)","Homicidal Chauffeur의 원본 기술. F-16의 R_p = V/omega_max ≈ 2000ft @ 350kts. 속도비 k = v_e/v_p가 가변일 때 (가속/감속) capture set이 어떻게 변하는지 RM-1486의 speed ratio 분석으로 직접 유추 가능.",✓ RAND.org 무료 PDF
"Homicidal Chauffeur Game: History and Modern Studies","Valerii S. Patsko; Varvara L. Turova",2011,https://sector3.imm.uran.ru/stat/Patsko-Turova2011_Chapter_HomicidalChauffeurGameHistoryA.pdf,"Homicidal Chauffeur 게임의 역사적 발전과 현대 연구 종합. Merz(1971) 이후 수치 해법 발전 추적. 다양한 변형(비선형 속도, 장애물, 비대칭 속도 비율) 분석. 레벨셋 기반 barrier 수치 계산.","Level set representation: W(t,x) = V(x,t) - c (capture set boundary); Numerical computation via viscosity solution of HJI; Variable speed ratio: k(t) = v_e(t)/v_p(t) -> time-varying barrier; Asymmetric case: R_p != R_e -> modified Apollonius conditions","정리 3 (Homicidal Chauffeur 수치 확장); 정리 4 (Game of Two Cars 변형)","가변 속도비 케이스(k(t) 시간가변)의 barrier 수치 계산법. 동등 스펙 F-16에서 속도 관리로 k(t)를 동적으로 1 이하로 낮추는 전략이 실제 capture set을 어떻게 확장하는지 수치적으로 확인 가능. Boyd EM 이론의 게임 이론적 증명 도구.",△ 저자 공개 PDF (인증 없이 접근 가능할 수 있음)
